الوحدة	اسم الصنف
متر مربع	قشرة جوز تركى
متر	قشرة تيك ايطالى
عدد	مقبض مط اسود
عدد	مقبض صغير نحاس
عدد	مفصلة نحاس كبيرة
عدد	دراع باكم سوفت
عدد	صوابع تاتش
متر	لزق شريط 2 سم
متر	لفة شريط 10 متر
كيلو	صب اسود
كيلو	صب اكلريك
عدد	لوح اكلاريك ليزر
كيلو	شريط حبل 2سم طوبي ماجيك
كيلو	شريط حبل 2سم زيتي ماجيك
عدد	مصنعية تركيب حبل ماجيك
متر مربع	قشره ارو مسنن
عدد	تصنيع غرفة جاردن بيتش
عدد	مصنعية 22جنب رتان ماجيك
عدد	مصنعية عجل رتان عميل
عربية	نقل بضاعة
عدد	مقبض الومنيوم حرف يو
عدد	مقبض الومنيوم حرف ال
عدد	زاوية مقبض
عدد	مسمار بورمة ابيض 1.5
كيلو	مسمار بورمة ابيض 2سم
عدد	مسمار بورمة 8سم اصفر
عدد	مسمار بورمة 7 سم
عدد	مادة لزق سريع
عدد	لقمة صليبة
كرتونة	تنر الصاروخين
جالون	فيلر
لوح	الواح خشب مكسي وجه و وجه
زجاجة	زجاج 4 مللي ابيض + 6 مللي
عدد	دبوس هواء 3سم
علبة	دبوس هواء 5سم
عدد	دبوس هواء 4سم
عدد	طقم اقلام
عدد	تنجيد طقم قمر
طقم	تنجيد طقم ياقوت
عدد	تنجيد سرير ماستر
عدد	جلد سرير ماستر
عدد	جلد (ركنة+فوتيه)
عدد	سرير بولمان
عدد	كانبة اوت دور
عدد	تغيير قماش سفرة
عدد	ركنة+فوتيه
عدد	سرير جلد
عدد	تنجيد فوتيه
عدد	تنجيد بنكيت
عدد	تنجيد فوتية نيو نوبي
عدد	جلسة فايزة احمد
عدد	اوردر محمد ياسر
متر	Rito 10
متر	Rito 3
متر	Rito 1
متر	westin 21
علبة	تنر فرن كيلو
علبة	دوكو ابيض كابسي
جالون	بروثان فوليت جالون 4 كيلو
متر	سنفرة
زجاجة	زجاجة نفط
كيلو	اصفر جملي
كيلو	دوكو اسود كابسي
كيلو	دوكو اخضر لامع
كيلو	دوكو ابيض مط
عدد	بنطة افريز
عدد	مسمار شوكة دولاب
عدد	مفصله عقرب
عدد	مسمار بورمة ابيض 3سم
لوح	كونتر سندوتش الفرسان تخانة 18 ملى
لوح	فنلندي طويل 18مم
لوح	ام دى اف فيبر تخانة 18 مللى
لوح	ابلاكاش مربع فنلندى تخانة 12 ملى
لوح	ام دى اف فيبر تخانة 10 مللى
لوح	فنلندي مربع 18مم
لوح	ام دى اف فيبر تخانة 13 مللى
جالون	دوكو ابيض مط كابسي جالون
جالون	جالون ابيض مط 3.5 كيلو
كيلو	كرتون تغليف
لوح	ابلاكاش ارو تخانة 6 ملى
عدد	فلير المهندس
عدد	رتان طبيعي
عدد	صنفرة صدف اسكوتش
زجاجة	منشف
عدد	مسمار بورمة ابيض 4سم
عدد	مسمار بورمة ابيض 5سم
عدد	سنفرة دبابة بالواحدة
عدد	مقبض لاتش
لوح	ام دى اف فيبر تخانة 6 مللى
سم 3	خشب ارو تخانة 6سم
عدد	اعمالة تركيب كابينة دهانات
عدد	اعمال حدادة سقف فوق الكابينة
بكرة	لزق شفاف عريض(سوليتيب)
كيلو	زيت المفتاحين
كيلو	ورق جرائد
عدد	لقمة رباط مخمسة
عدد	طقم عجل فرامل
عدد	فيشر 8 مللي
علبة	دبوس حرف يو 10*10
عدد	مرايه ميتال مستطيله 180*80
عدد	مرايه ميتال قطر 80 سم
عدد	حرف تي حديد للكرسي
عدد	مقاولة تنجيد جاردن بيتش
عدد	تقطيع الواح ليزر
عدد	مسمار سنارة 5سم
علبة	كعب مسمار نحاس
مفصلة	مفصله ركبة كاملة باكم
مفصلة	مفصله نصف ركبة باكم
عدد	مجره سوفت كلوز مقاس 45 سم
طقم	مجره سوفت كلوز مقاس 35سم
عدد	مجرة 35 تاتش مرحلتين
عدد	مجره سوفت كلوز مقاس 30سم
عدد	مفصلة دراع صغير
عدد	مفصلة بيانو
عدد	عود الومنيوم بمقبض
عدد	عود الومنيوم بدون مقبض
عدد	عود بروفايل
متر	بكرة ليد 5 متر
سم 3	زجاج 8 مللي + 4 مللي
سم 3	خشب موسكى تخانة 2 بوصة
سم 3	خشب موسكى تخانة 7.5 سم
متر	قماش راستا 2
متر	ماسورة شماعة
عدد	فلانشة
امبوبة	سيلكون شفاف
سم 3	خشب موسكى تخانة 4.7 سم
دستة	مناشير رقم 2
عدد	مسمار 8 سم + وردة + صمولة
كيلو	مسمار بورمة اسود 1.5 سم
عدد	فوم ابواب
عدد	خرطوم مياة
متر	مجرة باب 6م
لوح	صاج لحوض الكابينة
عدد	لحام الحوض
عدد	حوض مياه 20م
عدد	مفصلة عقرب باكم
عدد	لزق شريط ابيض
غرفة	سي ان سي
عدد	ترابيزة
عدد	فوتية
عدد	دبوس هواء 2سم
عدد	مسمار سنارة 2سم
كيلو	مسمار سنارة 3سم
عدد	مسمار سنارة 4سم
بكرة	لزق دوكو عريض
بكرة	لزق دوكو رفيع
كيلو	زنك معجون
عدد	تنجيد كنبة سرير
عدد	تنجيد سرير صغير
عدد	تنجيد سرير كبير
عدد	قاعدة بف
عدد	تنجيد كنبة شمس
عدد	كرسي شمس
عدد	ركنة نيو كيرفي
عدد	اضافة كوشن
عدد	سرير ريهات
متر	قماش
عربية	نقل سرير
عدد	قاعدة سفرة
بالواحدة	تنجيد ظهر سرير
عدد	تنجيد كنبة كبيرة +2 فوتية
متر	كنبة 2.30م
متر	فوتية 0.8 م
لوح	ام دي اف تركي عريض 6 مم
لوح	ام دي اف اندونيسي شبح 17مم
عدد	بنط لوتر 17 مللي
متر	سنفرة 80
لوح	ام دي اف شبح 11مم
جالون	دوكو كابسي اسود
جالون	دوكو اصفر جملي
جالون	دوكو احمر
شكارة	سبداج هبو شكارة
متر	سنفرة 150*180
متر	سفرة 320+220
عدد	باغة معجون بلاستيك
عدد	فرغ سنفرة دوكو 400
عدد	مصفه
كيلو	معجون استوك 3 كيلو
شكارة	زنك البدر
عدد	سنفرة صاروخ
كيلو	ك قطن
متر	فوم 3 مللي
لوح	ام دي اف فيبر 2.3مم
عدد	مقاولة حوض وستارة ودهان
عدد	مقاولة تندة+اكرمية 1500
عدد	لوح اكلارك اخصر
لوح	ابلاكاش ث مربع فلندى تخانة 3 ملى
علبة	مسمار بورمة ابيض 2.5 سم
علبة	دبوس هواء 2.5 سم
عدد	عود مجري
طقم	صولب استلس
كيلو	غراء حمص
عدد	كالون
عدد	طرمبة باب 8 سم
عدد	بنط حدادي 10 سم
كيلو	عود الومنيوم بالكيلو
